Ay,araba
2014-02,94
2014-03,87
2014-04,86
2014-05,82
2014-06,89
2014-07,95
2014-08,100
2014-09,91
2014-10,94
2014-11,88
2014-12,86
2015-01,91
2015-02,93
2015-03,85
2015-04,77
2015-05,74
2015-06,78
2015-07,85
2015-08,80
2015-09,79
2015-10,77
2015-11,78
2015-12,77
2016-01,77
2016-02,79
2016-03,75
2016-04,74
2016-05,70
2016-06,73
2016-07,75
2016-08,74
2016-09,73
2016-10,72
2016-11,68
2016-12,65
2017-01,67
2017-02,70
2017-03,68
2017-04,66
2017-05,67
2017-06,72
2017-07,76
2017-08,72
2017-09,69
2017-10,66
2017-11,65
2017-12,63
2018-01,65
2018-02,64
2018-03,62
2018-04,60
2018-05,58
2018-06,66
2018-07,70
2018-08,66
2018-09,60
2018-10,54
2018-11,55
2018-12,54
2019-01,54
2019-02,55
2019-03,60
2019-04,55
2019-05,55
2019-06,62
2019-07,64
2019-08,65
2019-09,59
2019-10,58
2019-11,62
2019-12,70
2020-01,62
2020-02,59
2020-03,53
2020-04,50
2020-05,62
2020-06,79
2020-07,79
2020-08,72
