Ay,fiyat artýþý
2010-01,15
2010-02,15
2010-03,18
2010-04,9
2010-05,19
2010-06,9
2010-07,10
2010-08,9
2010-09,0
2010-10,9
2010-11,9
2010-12,14
2011-01,11
2011-02,11
2011-03,7
2011-04,6
2011-05,4
2011-06,17
2011-07,6
2011-08,8
2011-09,6
2011-10,8
2011-11,8
2011-12,6
2012-01,8
2012-02,7
2012-03,7
2012-04,13
2012-05,3
2012-06,5
2012-07,9
2012-08,5
2012-09,7
2012-10,7
2012-11,5
2012-12,4
2013-01,7
2013-02,7
2013-03,5
2013-04,7
2013-05,4
2013-06,10
2013-07,6
2013-08,8
2013-09,9
2013-10,7
2013-11,4
2013-12,6
2014-01,9
2014-02,6
2014-03,2
2014-04,9
2014-05,8
2014-06,6
2014-07,6
2014-08,6
2014-09,8
2014-10,11
2014-11,13
2014-12,6
2015-01,4
2015-02,9
2015-03,9
2015-04,7
2015-05,7
2015-06,6
2015-07,6
2015-08,8
2015-09,7
2015-10,8
2015-11,6
2015-12,6
2016-01,14
2016-02,9
2016-03,6
2016-04,6
2016-05,8
2016-06,8
2016-07,4
2016-08,5
2016-09,7
2016-10,7
2016-11,19
2016-12,12
2017-01,11
2017-02,13
2017-03,9
2017-04,8
2017-05,11
2017-06,8
2017-07,9
2017-08,12
2017-09,9
2017-10,11
2017-11,10
2017-12,7
2018-01,9
2018-02,9
2018-03,7
2018-04,8
2018-05,21
2018-06,12
2018-07,13
2018-08,26
2018-09,48
2018-10,34
2018-11,48
2018-12,23
2019-01,20
2019-02,17
2019-03,19
2019-04,10
2019-05,9
2019-06,10
2019-07,6
2019-08,16
2019-09,10
2019-10,12
2019-11,12
2019-12,8
2020-01,12
2020-02,17
2020-03,100
2020-04,38
2020-05,23
2020-06,34
2020-07,29
2020-08,29
2020-09,21
2020-10,17
2020-11,27
