Ay,iþkur
2010-01,27
2010-02,26
2010-03,23
2010-04,22
2010-05,20
2010-06,24
2010-07,24
2010-08,23
2010-09,26
2010-10,38
2010-11,28
2010-12,34
2011-01,42
2011-02,39
2011-03,35
2011-04,30
2011-05,28
2011-06,30
2011-07,32
2011-08,36
2011-09,44
2011-10,38
2011-11,29
2011-12,32
2012-01,31
2012-02,32
2012-03,31
2012-04,27
2012-05,28
2012-06,29
2012-07,38
2012-08,37
2012-09,42
2012-10,36
2012-11,42
2012-12,44
2013-01,43
2013-02,44
2013-03,46
2013-04,55
2013-05,41
2013-06,37
2013-07,44
2013-08,40
2013-09,45
2013-10,38
2013-11,43
2013-12,38
2014-01,36
2014-02,37
2014-03,34
2014-04,34
2014-05,34
2014-06,32
2014-07,32
2014-08,36
2014-09,42
2014-10,37
2014-11,43
2014-12,40
2015-01,39
2015-02,39
2015-03,37
2015-04,33
2015-05,29
2015-06,31
2015-07,33
2015-08,34
2015-09,31
2015-10,37
2015-11,36
2015-12,32
2016-01,28
2016-02,32
2016-03,32
2016-04,31
2016-05,30
2016-06,29
2016-07,29
2016-08,36
2016-09,35
2016-10,36
2016-11,32
2016-12,32
2017-01,38
2017-02,41
2017-03,46
2017-04,33
2017-05,34
2017-06,30
2017-07,33
2017-08,28
2017-09,35
2017-10,35
2017-11,29
2017-12,28
2018-01,31
2018-02,31
2018-03,30
2018-04,32
2018-05,32
2018-06,32
2018-07,39
2018-08,37
2018-09,82
2018-10,59
2018-11,46
2018-12,55
2019-01,72
2019-02,79
2019-03,58
2019-04,51
2019-05,45
2019-06,60
2019-07,59
2019-08,44
2019-09,68
2019-10,53
2019-11,48
2019-12,44
2020-01,45
2020-02,43
2020-03,100
2020-04,79
2020-05,52
2020-06,58
2020-07,56
2020-08,50
2020-09,56
2020-10,40
2020-11,37
